Item,"ID",Creator,Object type,Date,Title,Image source,Materials,Dimensions,Institution
Seaplane,102-04418,,photo,1927,Rohrbach Ro IIIa Rodra flying boat,,,10707x7898 pixels,Bundesarchiv
,,,,,,,,,
